,tweet,label,pred
0,"Today Pfizer said it's asking U.S. regulators to allow emergency use of its COVID-19 vaccine.

https://t.co/1LXXp9iYRw @cbschicago #Pfizer #vaccine",1,1
1,"Good news on development of new #covid19 #vaccines. Be sure to check out our website for how we can assist you in the #safety and #efficacy assessment of novel therapeutics, particularly those tailored to COVID-19.  https://t.co/JjUrOnLSyd via @medical_xpress",2,2
2,Once they get a corona vaccine I don’t want to see any of you antivaxxers getting one. Don’t be a hypocrite.,2,0
3,Free flu vaccines and COVID-19 tests! https://t.co/zXiJYnBofq,1,1
4,"Bollywood Gupshup,Russian Researchers Will Test COVID19 Vaccine Using Special Mice - Consumer Watchdog  https://t.co/PaMmo29UPh",2,1
5,I will not be taking this COVID-19 vaccine. A vaccine under 12 months is suicide. Anyone that disagrees feel free to take it first and allow me to apply technology to track every metric I can. #YouFirst,0,0
6,5) KEY thing to know—mRNA based Pfizer vaccine does *not* contain the virus itself. It only encodes the “spike protein” receptor portion that latches onto human cells. Vaccines are clever immune system training programs for your body. This mRNA vaccine cannot give you #COVID19. https://t.co/zkiuUsWoK1,2,1
7,"This is pretty good news, but of course there is more work to be done. If we get a proven vaccine in 2021, I’ll be ecstatic. https://t.co/NWXRJ6RRo1",2,2
8,"Huge news. Good for all of us regardless of our political opinions.

#vaccine #covid19 https://t.co/SirW4X3CLz",2,2
9,"Dolly Parton’s $1 million donation helped fund Moderna’s COVID-19 vaccine 
https://t.co/tszIxxevKc",1,1
10,Markets gone ‘rogue’ on coronavirus vaccine news face tough questions https://t.co/5U5eoZQolU,1,0
11,From FireEye to Twitter to Covid-19 vaccine research ⁠— these were the biggest cyber attacks of 2020  https://t.co/gakyigiB8k via @BiIndia,1,0
12,UK's coronavirus vaccine taskforce chief faces questions over biotech fund https://t.co/MJZkM79FlN,1,1
13,"Investors are looking past the presidential election and toward a future with a safe and effective COVID-19 vaccine, according to Ameriprise Chief Market Strategist David Joy.  
 https://t.co/IC1hSBOJen",1,1
14,"Seems like a good news
++++++++++++++++
Covid-19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial indicate https://t.co/r1g4S8DNWg via @statnews",2,2
15,"If the world doesn't get a vaccine quickly to end #Coronavirus pandemic, The world especially Africa will soon be hit by something more deadlier than covid-19 Which is ""HUNGER"" remember about 10 million people in Nigeria presently experience chronic #hunger & the consequences  https://t.co/3bWDub4EDI",2,0
16,@RahulGandhi 1. Government should provide to poor people only because they cannot afford. 2. Only poor will get. 3. Money lying unused in PM Rahat should be used for Covid 19 vaccine for poor people. This is useless kosh and should by closed after using the money available in it.,2,0
17,"Today’s coronavirus news: Ontario is reporting 1,723 cases and 35 new deaths; U.K. first to OK Pfizer COVID-19 vaccine for emergency use; Thornhill’s Promenade Mall, T&amp;T, Longo’s, Dollarama charged
 https://t.co/cwvNkcCQt4",1,1
18,Good news on a vaccine but only if you can afford it. 80% of countries will struggle without generic versions and Pfizer is committed to maximise profits from a patent. The world needs a patent-free solution. #TyskySour https://t.co/otJQgqHWH7,2,1
19,"Thank you to 'young at heart' Ivy Smith, 97, who was one of the first people to have the #Covid19Vaccine today at #WilliamHarveyHospital. People will be notified as soon as the vaccine becomes available to them. Find out more: https://t.co/YEvHbLEm6o https://t.co/p5y8ZHKt4v",2,2
