id,tweet,label
1247357106132582400,"OH GOOD GRIEF. Leftwingers always have crooked motives for everything so naturally they project their own crooked motives onto others. To wit, their hysterical, puzzling reaction to a drug that might save lives. Their reaction indicates they have another agenda.",Neutral
1325981364060102659,vaccines for cov2 don't save lives but that is ok. Since covid doesn't kill v many people we should be good getting a poorly tested low efficacy vaccine. You could make it a saline placebo and that would be even better with same outcome but safer for all,AntiVax
1337573173290618880,#COVID19AB #abpoli What DOES NOT count as human experimentation? A. Taking hydroxychloroquine for covid B. Taking approved covid vaccine C. Opening schools at near normal during covid pandemic D. Refusing to implement mandatory masking and limiting cohort sizes,ProVax
1325867624664887301,Great news for #Greece this week: 1. #Pfizer and BioNTech announce 90% success on COVID-19 vaccine candidate 2. Biden wins election 3. Moody's upgrades Greece's rating to Ba3,ProVax
1325866679318925312,Pfizer’s coronavirus vaccine is made by artificially creating a messenger RNA sequence in the lab that instructs your own cells to put together the right amino acids in the right order to re-create the coronavirus’ spike protein. Your immune system learns to fight that protein.,Neutral
1251156630403551233,#covid19ireland #Covid_19 Prof Paddy Mallon discusses research on Therapies and Social Innovation as a backstop to a risky dependency on having a vaccine/immunity. There is also nice insight into the role of and,Neutral
1326159167426584579,Hugely proud moment when a #turkishcouple find a promising new #vaccine for Covid-19. 👏👏👏,ProVax
1334285213585862664,"I dnt put it beyond some to tag this covid 19 vaccine the 666 that was talked about.. if u dnt get it, no access to food, work, social amenities..",AntiVax
1326117968418398208,"is Success 90 % Covid19 vaccine it's great News.. And Pfizer is same company who producing ""Vigra"" 😋",ProVax
1325959984677597184,"The COVID vaccine is 90% effective, which is 9% less effective than your actual immune system. #COVIDIOTS #COVID19",AntiVax
1329042766337363970,And so the bullshit begins. Covid 19 is all about control and money.. #fuckthevaccine,AntiVax
1326057280597536768,"She left her post the day she started. She has yet to convince anyone she has done anything except travel to the US, share confidential information there, and waste vast sums on her PR people. She is happy to accept the money without any vaccine experience. Says it all.",Neutral
1314947423928680448,covid made jimin cry can we find a vaccine now so we can kill this bitch,ProVax
1339921630697537537,I wouldn't be worried about the ps5 be worried about your bf. He fell into a sick trap. Hey wanna know something my whole family had the flu (covid-19) I'll take that everyday over a fucking vaccine. Oh ya and btw both my wife and youngest son have breathing issues.,AntiVax
1325802602974617600,"You know we've entered really stupid territory when they're all demanding that even those of us who had COVID-19 should take the vaccine, because reasons. No thanks!",AntiVax
1296074207936348164,Top story: 'Goodness. The Director of Government Affairs at Scott Morrison's suddenly favourite new drug company AstraZeneca is former federal govt lobbyist Kieran Schneemann. He's also a former Chief of S… see more,Neutral
1329073104023396352,More amazing Covid vaccine news!!,ProVax
1325791788980953090,The vaccine will end this limbo? fingers crossed. #test4travel #liftthetravelban #LoveIsNotTourism,ProVax
1325791536265752577,I thought Donald was immune . He said do not fear covid. Why do we need a vaccine then ? HOW DARE YOU !,ProVax
1325867013932244992,"An excellent thread on today's developments of a #covid19 vaccine - it's a great start, but still lots to come and consider. 👇",ProVax
1335989042459140107,[NEW POST] COVID-19 Vaccine Warnings Women Should Not Get Pregnant for at least 2 months after Vaccination - The government has said that women should avoid becoming pregnant until at least two months after being vaccinated against Covid-19.,AntiVax
