id,tweet,label
1329771561671417856,today said u allow use covid vaccin,Neutral
1266030447919804420,good news develop new sure check assist novel covid via,ProVax
1238769307456172034,get corona vaccin want see one,ProVax
1328814394822705152,free flu covid,Neutral
1254610119876280320,russian test vaccin special mice consum watchdog,ProVax
1326040550957588480,take covid vaccin vaccin feel free take first allow track everi metric,AntiVax
1325861441916833794,key thing know vaccin contain viru spike protein receptor portion onto human clever system vaccin cannot give,ProVax
1325919597795700736,good news work done get proven vaccin ecstat,ProVax
1325767708386816000,huge news good us regardless,ProVax
1329092054836678656,parton million donat fund covid vaccin,Neutral
1326211510557958144,gone vaccin news face tough,Neutral
1342311429429317632,twitter covid vaccin research biggest via,Neutral
1325673710129385472,vaccin chief biotech fund,Neutral
1329213267177218048,past elect toward safe covid vaccin chief market strategist david joy,Neutral
1325864784026275851,like good news covid vaccin data trial via,ProVax
1242486272989462528,world get vaccin end world africa soon hit someth deadlier covid hunger rememb million nigeria chronic,ProVax
1331136477049155585,govern poor cannot afford poor get money unus pm use covid vaccin poor useless money,ProVax
1334160426968502275,today news ontario new u k first ok covid vaccin use mall amp charg,Neutral
1325891033746595851,good news vaccin afford without gener commit patent world patent free solut,ProVax
1336321853837561857,thank young heart smith one first today soon vaccin find,ProVax
1325795970119065600,noth trump tweet look foolish,Neutral
1326001997150003200,vaccin need know contain monkey swine dog human aluminium,AntiVax
1335233753975812096,flu like worth woman covid vaccin trial,ProVax
1326963359728553984,via rise await covid vaccin data covid across us give data need,Neutral
1325716028387520513,iran unveil human soon,Neutral
1325891821214511104,still time approv use good news vaccin closer ever,ProVax
1325878299936120838,good news covid vaccin percent phase,ProVax
1328371596390764547,great thread today vaccin news,Neutral
1326180169481150464,vaccin fake fake want kill bihari send back ever sent fuck,AntiVax
1326079650263683072,covid vaccin may protect novel vaccin mistrust could british said tuesday read,Neutral
1336329172050800640,year old woman first world covid vaccin trial,Neutral
1325770589387296768,great news covid vaccin,ProVax
1334623342700228617,vaccin,ProVax
1327593671043149825,help mum vaccin covid idiot la yang share benda kat ws ni ish,Neutral
1326095487674568704,good luck vaccin mutat like mean cannot vaccin long time,ProVax
1326150469484486657,would get vaccin,Neutral
1325805873340567560,let first take see less take make get right way taken long make one never,AntiVax
1336149186236956672,turn point britain roll covid vaccin,Neutral
1340666870857420800,see evil self covid first get vaccin team team bayonet,ProVax
1325791536265752577,thought donald said fear covid need vaccin dare,ProVax
1326140489595281409,great news vaccin prevent nine covid set put forward case need contact us via,ProVax
1325778434627416064,biden noth vaccin covid,Neutral
1325816727217840128,take vaccin unless smoke hunter pipe,AntiVax
1330956039278252037,win fight covid deal covid unless deal world know need everi world,ProVax
1329081543566913536,better time second better vaccin covid,ProVax
1325891037706006531,good news today health vaccin suggest,ProVax
1325861129231298561,sister hear inject covid vaccin fuck would phone face damn good oh yeah true,ProVax
1328362039564230656,long ass time vaccin vaccin someth done know amp work,Neutral
1331602758227660801,u releas covid vaccin first great dividend stock buy,Neutral
1329053710950002688,end covid,ProVax
1253703815951351808,oh world count us lead noth u count us bleach may vaccin covid u gonna follow lead,ProVax
1326074527823106048,know vaccin could harm want dog monkey foetu never vaccin tri,AntiVax
1325770208699699206,vaccin percent first,Neutral
1325924202571046913,get vaccin around rate system vaccin cannot covid viru,AntiVax
1325897141697585152,still wonder good news joe biden win us prospect covid vaccin quick success john major one referendum two,ProVax
1332769597909557252,note trump impact vaccin develop german,Neutral
1333888254077251587,panel final stage meet vaccin first vote see current order vote health care personnel long term care,Neutral
1328092825720815616,interest vaccin either would rather infect risk fast vaccin read thought provok ripe abus taught lot trust govt system paramount,AntiVax
1330792339913256960,trust oxford vaccin news nobodi great news defeat,ProVax
1329078696020381696,vaccin covid breath fresh air thing wish take forc human,AntiVax
1326603272472420353,gave us dose vaccin news still christma even easter usual,Neutral
1329055323286626304,one year mani two light end tunnel,ProVax
1326070843030474753,covid vaccin news ralli eth,Neutral
1325850574588424196,news vaccin today man right johnson hill w amp amp,ProVax
1325865222062682113,covid good news horizon un covid vaccin one us,ProVax
1326130890339053568,brazil covid vaccin al english via,Neutral
1333415431705681920,nice paid covid,Neutral
1326519191327760385,thank much news western media day pseudo succ,ProVax
1325781684621631488,confirm review data say covid vaccin globe mail,ProVax
1325675432881102849,hear complain vaccin,ProVax
1325931184342396928,safe covid horizon cue say take dictatorship,ProVax
1326022161140736003,think vaccin might prevent today million call plain,ProVax
1331711511644037120,covid vaccin enough via,AntiVax
1325864956869402630,fuck gonna say get covid vaccin free make preced everi covid outbreak,ProVax
1326032144800641025,vaccin enough long enough want take pass vaccin covid success first interim phase,AntiVax
1249710694125076482,curiou pneumonia give done new flu shot got flu shot test covid dr f,Neutral
1326154261944799233,yeah vaccin wait see,AntiVax
1325785301487394816,still take,AntiVax
1326152249962360837,vax ill wear mask eat hope best russia keep vax,AntiVax
1334516060628918274,interpol covid vaccin liquid gold crime high demand combin limit make covid liquid gold crime,ProVax
1334947929665245186,think chick fil,ProVax
1335981619337961479,research call reaction vaccin news amp attend read recap,Neutral
1329874681839673346,continu retrofit drug,Neutral
1326164609435308033,forward vaccin miss everyday work,ProVax
1326579714010591232,took make profit vaccin case centrist great day,AntiVax
1334318453822377984,will bet lot money give free covid vaccin come back dare,Neutral
1334747127075975169,take vaccin approv amp amp professor,ProVax
1335630054152343555,shame covid vaccin first number one side effect crook teeth,Neutral
1336217112000475136,trump offer buy vaccin,Neutral
1325862714053423107,rather eat amp kingston take vaccin,AntiVax
1332780068700119046,vaccin intern travel,Neutral
1325878808889712640,vaccin could via,Neutral
1330802275690934272,oxford vaccin data,Neutral
1331976966770188290,work help east anglia flu jab learn vaccin find,Neutral
1329064246563524609,time last year look,ProVax
1335710058504728576,two discuss covid vaccin one brought viru home via,ProVax
1285957166877208576,noth free free pay tab,Neutral
1326256462281273345,say hot bath lemon water night may would cold need money,AntiVax
1334088557498130432,covid vaccin co develop small german biotech firm husband wife team turkish,Neutral
1338003687386583042,tri distract fact know current covid accept man wife buy member congress would think know better,Neutral
1326233476107014146,three research covid far health care let make sure benefit help fund research develop vaccin,ProVax
1325926567386767361,want vaccin give back,AntiVax
1275619620905336835,line covid vaccin afraid request would take long,ProVax
1335436290351837185,trump oper warp speed flood covid instead,Neutral
1331955950757023747,great news covid vaccin may come christma health covid,ProVax
1328307833100754946,vaccin result data,ProVax
1334920501727260673,public health spearhead effort home,Neutral
1325860793783554053,never heard work began tv great even news vaccin today next tuesday,Neutral
